country,year,population,pop_density,net_migration,migration_perc,iso3c,iso2c,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude
Arab World,2018,419790588.0,37.3723653654038,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2017,411898965.0,36.66980407291,-1408824.0,-0.003420314493871088,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2016,404024433.0,35.9687643273844,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2015,396028278.0,35.2568969470266,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2014,387907748.0,34.5339784528501,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2013,379705719.0,33.8037854447067,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2012,371443547.0,33.0676698508134,47229.0,0.00012714987346381333,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2011,363158703.0,32.3301222985889,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2010,354890042.0,31.5940206659569,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2009,346629220.0,30.8585805304216,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2008,338395961.0,30.1188865561056,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2007,330290716.0,29.3975064907483,3760036.0,0.01138401964649833,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2006,322452754.0,28.6999402151172,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2005,314965793.0,28.0337121972877,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2004,307862843.0,27.4015344217652,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2003,301113849.0,26.8008119265305,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2002,294665185.0,26.2264246915316,183214.0,0.0006217700947602616,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2001,288432163.0,25.671659858748,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2000,282344154.0,25.1298017849485,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,1999,276393837.0,24.6001988707419,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,1998,270575803.0,24.082369692674,,,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,1997,264822188.0,23.570274073025,-1739489.0,-0.006568516834397577,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
